"cohort","subtype","model","time_months","auc","brier"
"Spatial validation cohort","IDHmut-codel","CR-ViT",36,0.7490643761233324,0.1711229456284117
"Spatial validation cohort","GBM","3D-CNN",6,0.6408608715328271,0.22204134083586707
"Spatial validation cohort","GBM","3D-CNN",12,0.6677284136872057,0.23119931074727545
"Spatial validation cohort","GBM","3D-CNN",18,0.70653679335708,0.18897987724474188
"Spatial validation cohort","GBM","3D-CNN",24,0.7690003805008495,0.1425862184308453
"Spatial validation cohort","GBM","3D-CNN",30,0.8306864398640937,0.1071263982398443
"Spatial validation cohort","GBM","3D-CNN",36,0.9063866849537994,0.08900722148665055
"Spatial validation cohort","GBM","Clinicoradiologic",6,0.6742765832342239,0.21977813682786787
"Spatial validation cohort","GBM","Clinicoradiologic",12,0.6628041233553319,0.2393511291594056
"Spatial validation cohort","GBM","Clinicoradiologic",18,0.6783288919867819,0.1999663650891901
"Spatial validation cohort","GBM","Clinicoradiologic",24,0.6998636494203999,0.1603535317513854
"Spatial validation cohort","GBM","Clinicoradiologic",30,0.7600905563531875,0.12585487167202605
"Spatial validation cohort","GBM","Clinicoradiologic",36,0.7295437415461645,0.12195461986669406
"Spatial validation cohort","GBM","3D-ViT",6,0.6884789145168666,0.2114959381121929
"Spatial validation cohort","GBM","3D-ViT",12,0.7168980476772999,0.21861560229871388
"Spatial validation cohort","GBM","3D-ViT",18,0.7691399017702722,0.1734932037916051
"Spatial validation cohort","GBM","3D-ViT",24,0.8516028365795617,0.12012874785405077
"Spatial validation cohort","GBM","3D-ViT",30,0.885658753727971,0.09060772953081676
"Spatial validation cohort","GBM","3D-ViT",36,0.9437618176980584,0.07098968901778242
"Spatial validation cohort","GBM","CR-ViT",6,0.7453442899132531,0.19478380112184515
"Spatial validation cohort","GBM","CR-ViT",12,0.7652496149899901,0.2045003893142548
"Spatial validation cohort","GBM","CR-ViT",18,0.8077340402340845,0.16289383839542754
"Spatial validation cohort","GBM","CR-ViT",24,0.8768255050072237,0.11327964934993949
"Spatial validation cohort","GBM","CR-ViT",30,0.9255159325265025,0.07870516761614008
"Spatial validation cohort","GBM","CR-ViT",36,0.942937820390131,0.06488294660375443
"GBM multi-omics subset","GBM","3D-CNN",6,0.6248575093821073,0.22974196251846765
"GBM multi-omics subset","GBM","3D-CNN",12,0.6699533206688906,0.21896645791045485
"GBM multi-omics subset","GBM","3D-CNN",18,0.7103245382249236,0.1711090658852772
"GBM multi-omics subset","GBM","3D-CNN",24,0.772899375417518,0.14076999591323205
"GBM multi-omics subset","GBM","3D-CNN",30,0.8059108023233167,0.10725548022931002
"GBM multi-omics subset","GBM","3D-CNN",36,0.8611627793226695,0.08086585802164535
"GBM multi-omics subset","GBM","Clinicoradiologic",6,0.6600167073260885,0.22561295343739793
"GBM multi-omics subset","GBM","Clinicoradiologic",12,0.700514535613316,0.21235289563933749
"GBM multi-omics subset","GBM","Clinicoradiologic",18,0.7178730269987873,0.16991298325877116
"GBM multi-omics subset","GBM","Clinicoradiologic",24,0.7102745606016201,0.15825325269231064
"GBM multi-omics subset","GBM","Clinicoradiologic",30,0.7478433008787689,0.12954814891145094
"GBM multi-omics subset","GBM","Clinicoradiologic",36,0.7817812858014292,0.10224553799149715
"GBM multi-omics subset","GBM","3D-ViT",6,0.7219050526398184,0.20410577905768032
"GBM multi-omics subset","GBM","3D-ViT",12,0.7448149954094617,0.19733303465022167
"GBM multi-omics subset","GBM","3D-ViT",18,0.7884940859995938,0.15393681211813248
"GBM multi-omics subset","GBM","3D-ViT",24,0.8406235337655136,0.12375082405192214
"GBM multi-omics subset","GBM","3D-ViT",30,0.8988390220161763,0.08813899368169863
"GBM multi-omics subset","GBM","3D-ViT",36,0.9520566075205401,0.06125426854131686
"GBM multi-omics subset","GBM","CR-ViT",6,0.7829310790184337,0.18569244201114052
"GBM multi-omics subset","GBM","CR-ViT",12,0.8108464836367626,0.17245848156806806
"GBM multi-omics subset","GBM","CR-ViT",18,0.8553071475783315,0.13225289754062078
"GBM multi-omics subset","GBM","CR-ViT",24,0.8922410922886579,0.10710818795201926
"GBM multi-omics subset","GBM","CR-ViT",30,0.9178028896849753,0.07917346210246128
"GBM multi-omics subset","GBM","CR-ViT",36,0.973814869481093,0.05290224548741895
