"cohort","subtype","model","time_months","risk_quantile","n","predicted_event_probability","observed_event_probability"
"Spatial validation cohort","GBM","3D-CNN",12,5,65,0.8350232491589383,0.753463927376971
"Spatial validation cohort","GBM","3D-ViT",12,1,66,0.2791932391945348,0.2581818181818184
"Spatial validation cohort","GBM","3D-ViT",12,2,66,0.4867505849959523,0.47818958499468356
"Spatial validation cohort","GBM","3D-ViT",12,3,66,0.6401596884481079,0.5128674231689891
"Spatial validation cohort","GBM","3D-ViT",12,4,66,0.7536650878611013,0.6666666666666665
"Spatial validation cohort","GBM","3D-ViT",12,5,65,0.9086133859467319,0.8034353034353037
"Spatial validation cohort","GBM","CR-ViT",12,1,66,0.21787180990126984,0.2443617763310859
"Spatial validation cohort","GBM","CR-ViT",12,2,66,0.43579318736743133,0.39912995395865347
"Spatial validation cohort","GBM","CR-ViT",12,3,66,0.6331501730348065,0.45135159326888685
"Spatial validation cohort","GBM","CR-ViT",12,4,66,0.8250836307602021,0.769366391184573
"Spatial validation cohort","GBM","CR-ViT",12,5,65,0.9651643688507012,0.8636686390532545
"GBM multi-omics subset","GBM","Clinicoradiologic",12,1,30,0.43116375591688144,0.2758620689655171
"GBM multi-omics subset","GBM","Clinicoradiologic",12,2,30,0.565941163590857,0.7
"GBM multi-omics subset","GBM","Clinicoradiologic",12,3,30,0.6252037342386895,0.5333333333333333
"GBM multi-omics subset","GBM","Clinicoradiologic",12,4,30,0.713187565282882,0.6635416666666667
"GBM multi-omics subset","GBM","Clinicoradiologic",12,5,30,0.8179721811749427,0.8476190476190476
"GBM multi-omics subset","GBM","3D-CNN",12,1,30,0.36891891265023646,0.5041666666666667
"GBM multi-omics subset","GBM","3D-CNN",12,2,30,0.5044990971254862,0.43923611111111116
"GBM multi-omics subset","GBM","3D-CNN",12,3,30,0.5971097211866038,0.5938461538461538
"GBM multi-omics subset","GBM","3D-CNN",12,4,30,0.6908478610149698,0.6444444444444444
"GBM multi-omics subset","GBM","3D-CNN",12,5,30,0.8271406523033892,0.8555555555555555
"GBM multi-omics subset","GBM","3D-ViT",12,1,30,0.302810364235874,0.33333333333333337
"GBM multi-omics subset","GBM","3D-ViT",12,2,30,0.48467504914462667,0.5423076923076923
"GBM multi-omics subset","GBM","3D-ViT",12,3,30,0.6283528520689042,0.577922077922078
"GBM multi-omics subset","GBM","3D-ViT",12,4,30,0.7281620617007708,0.706
"GBM multi-omics subset","GBM","3D-ViT",12,5,30,0.8884719340744236,0.8857142857142857
"GBM multi-omics subset","GBM","CR-ViT",12,1,30,0.22708093957051445,0.2681818181818182
"GBM multi-omics subset","GBM","CR-ViT",12,2,30,0.44912663799825203,0.41437908496732034
"GBM multi-omics subset","GBM","CR-ViT",12,3,30,0.6235276961576679,0.641025641025641
"GBM multi-omics subset","GBM","CR-ViT",12,4,30,0.7808944376865619,0.7954545454545454
"GBM multi-omics subset","GBM","CR-ViT",12,5,30,0.9531256649193658,0.925
