"cohort","subtype","model","time_months","brier","ibs"
"Spatial validation cohort","IDHmut-intact","3D-CNN",18,0.14537059627728696,0.15374010737622754
"Spatial validation cohort","IDHmut-intact","3D-CNN",24,0.19120358510360178,0.15374010737622754
"Spatial validation cohort","IDHmut-intact","3D-CNN",30,0.1935288674215911,0.15374010737622754
"Spatial validation cohort","IDHmut-intact","3D-CNN",36,0.20038557587257427,0.15374010737622754
"Spatial validation cohort","IDHmut-intact","3D-ViT",6,0.05626149401571874,0.1450904238026945
"Spatial validation cohort","IDHmut-intact","3D-ViT",12,0.10586512140893015,0.1450904238026945
"Spatial validation cohort","IDHmut-intact","3D-ViT",18,0.13957564132129613,0.1450904238026945
"Spatial validation cohort","IDHmut-intact","3D-ViT",24,0.18075334863116754,0.1450904238026945
"Spatial validation cohort","IDHmut-intact","3D-ViT",30,0.17705412710215332,0.1450904238026945
"Spatial validation cohort","IDHmut-intact","3D-ViT",36,0.188146267084132,0.1450904238026945
"Spatial validation cohort","IDHmut-intact","CR-ViT",6,0.05550930368816499,0.13623676500136706
"Spatial validation cohort","IDHmut-intact","CR-ViT",12,0.10072200250174225,0.13623676500136706
"Spatial validation cohort","IDHmut-intact","CR-ViT",18,0.12630227014128345,0.13623676500136706
"Spatial validation cohort","IDHmut-intact","CR-ViT",24,0.1720939996769724,0.13623676500136706
"Spatial validation cohort","IDHmut-intact","CR-ViT",30,0.1676054169991364,0.13623676500136706
"Spatial validation cohort","IDHmut-intact","CR-ViT",36,0.1734109676872365,0.13623676500136706
"Spatial validation cohort","IDHmut-codel","Clinicoradiologic",6,0.044305697512554774,0.1572048386462893
"Spatial validation cohort","IDHmut-codel","Clinicoradiologic",12,0.12821809047843313,0.1572048386462893
"Spatial validation cohort","IDHmut-codel","Clinicoradiologic",18,0.16669059773258854,0.1572048386462893
"Spatial validation cohort","IDHmut-codel","Clinicoradiologic",24,0.1772380800301421,0.1572048386462893
"Spatial validation cohort","IDHmut-codel","Clinicoradiologic",30,0.19055160294920603,0.1572048386462893
"Spatial validation cohort","IDHmut-codel","Clinicoradiologic",36,0.2023459465695986,0.1572048386462893
"Spatial validation cohort","IDHmut-codel","3D-CNN",6,0.044648105268076006,0.1498508967399366
"Spatial validation cohort","IDHmut-codel","3D-CNN",12,0.12452306390972635,0.1498508967399366
"Spatial validation cohort","IDHmut-codel","3D-CNN",18,0.15606776071473183,0.1498508967399366
"Spatial validation cohort","IDHmut-codel","3D-CNN",24,0.16611096444646406,0.1498508967399366
"Spatial validation cohort","IDHmut-codel","3D-CNN",30,0.18134782050125922,0.1498508967399366
"Spatial validation cohort","IDHmut-codel","3D-CNN",36,0.19776164298692675,0.1498508967399366
"Spatial validation cohort","IDHmut-codel","3D-ViT",6,0.045530569384729554,0.1353901377235408
"Spatial validation cohort","IDHmut-codel","3D-ViT",12,0.11815462350938626,0.1353901377235408
"Spatial validation cohort","IDHmut-codel","3D-ViT",18,0.14201193471788684,0.1353901377235408
"Spatial validation cohort","IDHmut-codel","3D-ViT",24,0.14696874691049464,0.1353901377235408
"Spatial validation cohort","IDHmut-codel","3D-ViT",30,0.15845698645300357,0.1353901377235408
"Spatial validation cohort","IDHmut-codel","3D-ViT",36,0.17718622466913603,0.1353901377235408
"Spatial validation cohort","IDHmut-codel","CR-ViT",6,0.0495170558298069,0.13492473947982972
"Spatial validation cohort","IDHmut-codel","CR-ViT",12,0.12359665127243079,0.13492473947982972
"Spatial validation cohort","IDHmut-codel","CR-ViT",18,0.14232156209866306,0.13492473947982972
"Spatial validation cohort","IDHmut-codel","CR-ViT",24,0.14424470609677933,0.13492473947982972
"Spatial validation cohort","IDHmut-codel","CR-ViT",30,0.15414077720216612,0.13492473947982972
"Spatial validation cohort","IDHmut-codel","CR-ViT",36,0.1711229456284117,0.13492473947982972
"Spatial validation cohort","GBM","Clinicoradiologic",6,0.21977813682786787,0.17927845520385763
"Spatial validation cohort","GBM","Clinicoradiologic",12,0.2393511291594056,0.17927845520385763
"Spatial validation cohort","GBM","Clinicoradiologic",18,0.1999663650891901,0.17927845520385763
"Spatial validation cohort","GBM","Clinicoradiologic",24,0.1603535317513854,0.17927845520385763
"Spatial validation cohort","GBM","Clinicoradiologic",30,0.12585487167202605,0.17927845520385763
"Spatial validation cohort","GBM","Clinicoradiologic",36,0.12195461986669406,0.17927845520385763
"Spatial validation cohort","GBM","3D-CNN",6,0.22204134083586707,0.16508321716479316
"Spatial validation cohort","GBM","3D-CNN",12,0.23119931074727545,0.16508321716479316
"Spatial validation cohort","GBM","3D-CNN",18,0.18897987724474188,0.16508321716479316
"Spatial validation cohort","GBM","3D-CNN",24,0.1425862184308453,0.16508321716479316
"Spatial validation cohort","GBM","3D-CNN",30,0.1071263982398443,0.16508321716479316
"Spatial validation cohort","GBM","3D-CNN",36,0.08900722148665055,0.16508321716479316
"Spatial validation cohort","GBM","3D-ViT",6,0.2114959381121929,0.14881761940803484
"Spatial validation cohort","GBM","3D-ViT",12,0.21861560229871388,0.14881761940803484
"Spatial validation cohort","GBM","3D-ViT",18,0.1734932037916051,0.14881761940803484
"Spatial validation cohort","GBM","3D-ViT",24,0.12012874785405077,0.14881761940803484
