"cohort","subtype","comparison","metric","difference","ci_low","ci_high","p_value","p_formatted"
"Spatial validation cohort","IDHmut-codel","3D-ViT vs 3D-CNN","cindex",0.0685882600462866,0.025123736128646202,0.10834792739044727,0.0010523863849504524,"0.001"
"Spatial validation cohort","IDHmut-codel","3D-ViT vs 3D-CNN","iauc",0.08532240435144955,0.03745699873253225,0.13386349985571644,0.0010659364986378575,"0.001"
"Spatial validation cohort","IDHmut-codel","3D-ViT vs 3D-CNN","ibs",-0.014460759016395791,-0.021762304603859785,-0.008449275828564234,3.536953288695943e-4,"<0.001"
"Spatial validation cohort","IDHmut-codel","CR-ViT vs 3D-CNN","cindex",0.11845150431306539,0.03980201695988761,0.18639108404282273,0.0031901314050144327,"0.003"
"Spatial validation cohort","IDHmut-codel","CR-ViT vs 3D-CNN","iauc",0.11309694370784584,0.014315968319525096,0.21258807890891385,0.030124301910043498,"0.030"
"Spatial validation cohort","IDHmut-codel","CR-ViT vs 3D-CNN","ibs",-0.014926157260106876,-0.03693459726399528,0.00234163500940077,0.1662363896924905,"0.166"
"Spatial validation cohort","IDHmut-codel","CR-ViT vs 3D-ViT","cindex",0.049863244266778795,-0.01747123699121383,0.10887208176305439,0.11010872146635856,"0.110"
"Spatial validation cohort","IDHmut-codel","CR-ViT vs 3D-ViT","iauc",0.02777453935639629,-0.04479087832614917,0.09654913978157037,0.46849553485999773,"0.468"
"Spatial validation cohort","IDHmut-codel","CR-ViT vs 3D-ViT","ibs",-4.6539824371108485e-4,-0.0183761817045221,0.017158347953643703,0.9604889270694986,"0.960"
"Spatial validation cohort","GBM","3D-CNN vs Clinicoradiologic","cindex",-0.009797872340425506,-0.05518395378427631,0.04628475284568563,0.7040227877354647,"0.704"
"Spatial validation cohort","GBM","3D-CNN vs Clinicoradiologic","iauc",0.048915684429329365,-0.021757970522823855,0.12664387946057948,0.21240035491458026,"0.212"
"Spatial validation cohort","GBM","3D-CNN vs Clinicoradiologic","ibs",-0.014195238039064473,-0.029044295940557283,2.507472243563469e-4,0.07739502747515703,"0.077"
"Spatial validation cohort","GBM","3D-ViT vs Clinicoradiologic","cindex",0.031010638297872317,-0.010502797093496188,0.08304648238506697,0.1829303215389982,"0.183"
"Spatial validation cohort","GBM","3D-ViT vs Clinicoradiologic","iauc",0.10728450447133442,0.0399338174426504,0.1693939977961832,0.0011647004233828987,"0.001"
"Spatial validation cohort","GBM","3D-ViT vs Clinicoradiologic","ibs",-0.030460835795822788,-0.0473185886137603,-0.012149334282662107,0.001576266315240569,"0.002"
"Spatial validation cohort","GBM","CR-ViT vs Clinicoradiologic","cindex",0.07224468085106384,0.04098146063783771,0.10704690094902444,8.162592870931204e-6,"<0.001"
"Spatial validation cohort","GBM","CR-ViT vs Clinicoradiologic","iauc",0.14329375288071944,0.09936519577648184,0.1838505862914673,3.205058815995071e-9,"<0.001"
"Spatial validation cohort","GBM","CR-ViT vs Clinicoradiologic","ibs",-0.04143597149614531,-0.05711829285717279,-0.02132491948331549,1.8464369958840118e-5,"<0.001"
"Spatial validation cohort","GBM","3D-ViT vs 3D-CNN","cindex",0.040808510638297824,0.021439301665767727,0.06400496979750846,2.774322526432048e-4,"<0.001"
"Spatial validation cohort","GBM","3D-ViT vs 3D-CNN","iauc",0.058368820042005054,0.03893516118167633,0.09434081183067472,1.1804713787627738e-5,"<0.001"
"Spatial validation cohort","GBM","3D-ViT vs 3D-CNN","ibs",-0.016265597756758315,-0.023851373959560287,-0.008083645441875913,1.472501307902925e-4,"<0.001"
"Spatial validation cohort","GBM","CR-ViT vs 3D-CNN","cindex",0.08204255319148934,0.04900089372053626,0.10993519778104523,3.013588277268535e-7,"<0.001"
"Spatial validation cohort","GBM","CR-ViT vs 3D-CNN","iauc",0.09437806845139007,0.05443231401079876,0.1367630845366307,2.5069015757174127e-6,"<0.001"
"Spatial validation cohort","GBM","CR-ViT vs 3D-CNN","ibs",-0.027240733457080835,-0.039182076706690064,-0.00959026504486184,1.6702045300434918e-4,"<0.001"
"Spatial validation cohort","GBM","CR-ViT vs 3D-ViT","cindex",0.04123404255319152,0.022617242736572805,0.05810048602044375,9.985951198454425e-5,"<0.001"
"Spatial validation cohort","GBM","CR-ViT vs 3D-ViT","iauc",0.03600924840938502,0.009558822290347838,0.05898587302357618,0.0025403800685393535,"0.003"
"Spatial validation cohort","GBM","CR-ViT vs 3D-ViT","ibs",-0.01097513570032252,-0.01769258417479277,0.0021772109492028636,0.0247353636348842,"0.025"
"GBM multi-omics subset","GBM","3D-CNN vs Clinicoradiologic","cindex",0.01708278580814726,-0.050704579086455766,0.08928407527830533,0.6185588901699195,"0.619"
"GBM multi-omics subset","GBM","3D-CNN vs Clinicoradiologic","iauc",0.02093875206615714,-0.10027827110652375,0.11372844894185716,0.7270986295452742,"0.727"
"GBM multi-omics subset","GBM","3D-CNN vs Clinicoradiologic","ibs",-0.008118323201597416,-0.03574908817518127,0.018430749545823938,0.5353048230287534,"0.535"
"GBM multi-omics subset","GBM","3D-ViT vs Clinicoradiologic","cindex",0.07004952997068636,0.005748035615967268,0.13264283030335122,0.0538103691483263,"0.054"
"GBM multi-omics subset","GBM","3D-ViT vs Clinicoradiologic","iauc",0.10246960932293459,0.016020214345047044,0.18073457726419279,0.027436451370136863,"0.027"
